title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Rudy (1993),3.3333333333333335,30,Dances with Wolves (1990),L.A. Confidential (1997),"Sound of Music, The (1965)",Sense and Sensibility (1995)
"Ruling Class, The (1972)",3.909090909090909,11,Star Trek IV: The Voyage Home (1986),Quiz Show (1994),Dead Man Walking (1995),Boogie Nights (1997)
Rumble in the Bronx (1995),3.489795918367347,98,Courage Under Fire (1996),Braveheart (1995),"Rock, The (1996)",Sense and Sensibility (1995)
"Run of the Country, The (1995)",4.0,3,-,-,-,-
S.F.W. (1994),2.0,1,-,-,-,-
Sabrina (1954),3.638888888888889,36,Star Trek: First Contact (1996),Lone Star (1996),"Truth About Cats & Dogs, The (1996)","Clockwork Orange, A (1971)"
Sabrina (1995),3.393939393939394,99,Sleepless in Seattle (1993),"Truth About Cats & Dogs, The (1996)",True Lies (1994),Sense and Sensibility (1995)
Safe (1995),3.9,10,"Sound of Music, The (1965)","Birdcage, The (1996)","Truth About Cats & Dogs, The (1996)","Empire Strikes Back, The (1980)"
Safe Passage (1994),4.0,1,-,-,-,-
"Saint, The (1997)",3.0357142857142856,168,Twister (1996),Courage Under Fire (1996),Independence Day (ID4) (1996),Liar Liar (1997)
Salut cousin! (1996),1.0,1,-,-,-,-
"Santa Clause, The (1994)",2.9555555555555557,45,Top Gun (1986),Starship Troopers (1997),Forrest Gump (1994),Conspiracy Theory (1997)
Santa with Muscles (1996),5.0,1,-,-,-,-
"Savage Nights (Nuits fauves, Les) (1992)",3.5,2,"Birdcage, The (1996)","Clockwork Orange, A (1971)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"English Patient, The (1996)"
"Scarlet Letter, The (1995)",2.0,4,Quiz Show (1994),Mr. Holland's Opus (1995),Terminator 2: Judgment Day (1991),Alien (1979)
Schindler's List (1993),4.3734177215189876,158,Evita (1996),Amadeus (1984),"Truth About Cats & Dogs, The (1996)","English Patient, The (1996)"
Schizopolis (1996),2.0,2,-,-,-,-
"Scout, The (1994)",2.1666666666666665,6,Twelve Monkeys (1995),Toy Story (1995),Dante's Peak (1997),"People vs. Larry Flynt, The (1996)"
Scream (1996),3.488721804511278,266,Seven (Se7en) (1995),Batman (1989),"Truth About Cats & Dogs, The (1996)",Jaws (1975)
Scream 2 (1997),3.327272727272727,55,"Sound of Music, The (1965)",Scream (1996),One Flew Over the Cuckoo's Nest (1975),"Truth About Cats & Dogs, The (1996)"
Screamers (1995),2.4782608695652173,23,M*A*S*H (1970),It's a Wonderful Life (1946),"Blues Brothers, The (1980)",Rear Window (1954)
"Search for One-eye Jimmy, The (1996)",2.0,2,Eraser (1996),In & Out (1997),Lone Star (1996),Mars Attacks! (1996)
Searching for Bobby Fischer (1993),3.8625,80,True Lies (1994),Murder at 1600 (1997),"Hunt for Red October, The (1990)",Beauty and the Beast (1991)
"Second Jungle Book: Mowgli & Baloo, The (1997)",1.5,2,Contact (1997),Fargo (1996),Lone Star (1996),Mars Attacks! (1996)
"Secret Adventures of Tom Thumb, The (1993)",2.0,3,Alien (1979),Brazil (1985),Star Trek: The Wrath of Khan (1982),Four Weddings and a Funeral (1994)
"Secret Agent, The (1996)",2.3333333333333335,3,Jerry Maguire (1996),Seven (Se7en) (1995),Psycho (1960),Pulp Fiction (1994)
"Secret Garden, The (1993)",3.4,40,"Shining, The (1980)",Mighty Aphrodite (1995),"Full Monty, The (1997)",Rear Window (1954)
"Secret of Roan Inish, The (1994)",4.097560975609756,41,Lone Star (1996),"Sting, The (1973)",M*A*S*H (1970),Quiz Show (1994)
Secrets & Lies (1996),4.3076923076923075,78,Pulp Fiction (1994),"Devil's Own, The (1997)",Raising Arizona (1987),Rear Window (1954)
Selena (1997),3.6666666666666665,6,"Empire Strikes Back, The (1980)",Aladdin (1992),"Fifth Element, The (1997)",Twister (1996)
Sense and Sensibility (1995),4.038461538461538,130,Volcano (1997),Starship Troopers (1997),Star Trek: The Wrath of Khan (1982),Speed (1994)
Senseless (1998),2.5,2,-,-,-,-
Serial Mom (1994),2.90625,32,Trainspotting (1996),Star Trek: The Wrath of Khan (1982),Brazil (1985),"Shining, The (1980)"
Set It Off (1996),3.3636363636363638,11,Courage Under Fire (1996),"Full Monty, The (1997)",Heat (1995),Sense and Sensibility (1995)
Seven (Se7en) (1995),3.8970588235294117,136,Scream (1996),Mr. Holland's Opus (1995),Starship Troopers (1997),Unforgiven (1992)
Seven Years in Tibet (1997),3.4,75,Get Shorty (1995),Schindler's List (1993),Speed (1994),Forrest Gump (1994)
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",3.5789473684210527,38,Dead Man Walking (1995),Courage Under Fire (1996),"Game, The (1997)",Boogie Nights (1997)
"Sex, Lies, and Videotape (1989)",3.510204081632653,49,Lone Star (1996),Trainspotting (1996),Leaving Las Vegas (1995),Starship Troopers (1997)
"Sexual Life of the Belgians, The (1994)",1.5,2,Leaving Las Vegas (1995),Murder at 1600 (1997),Sense and Sensibility (1995),Scream (1996)
Sgt. Bilko (1996),2.5652173913043477,46,Evita (1996),Psycho (1960),"Saint, The (1997)",Field of Dreams (1989)
Shadow Conspiracy (1997),2.64,25,Butch Cassidy and the Sundance Kid (1969),It's a Wonderful Life (1946),Forrest Gump (1994),Sleepless in Seattle (1993)
"Shadow, The (1994)",2.75,24,Volcano (1997),Quiz Show (1994),Mission: Impossible (1996),This Is Spinal Tap (1984)
Shadowlands (1993),3.978723404255319,47,"People vs. Larry Flynt, The (1996)",To Kill a Mockingbird (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),True Lies (1994)
"Shaggy Dog, The (1959)",3.263157894736842,19,L.A. Confidential (1997),Brazil (1985),Get Shorty (1995),Independence Day (ID4) (1996)
Shall We Dance? (1937),3.727272727272727,11,In & Out (1997),Star Trek: The Wrath of Khan (1982),Heat (1995),Apollo 13 (1995)
Shall We Dance? (1996),4.46875,32,"Hunt for Red October, The (1990)",Lone Star (1996),Brazil (1985),Star Trek IV: The Voyage Home (1986)
Shallow Grave (1994),3.772727272727273,44,"People vs. Larry Flynt, The (1996)",Men in Black (1997),"Lion King, The (1994)",Batman (1989)
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),3.7142857142857144,14,Lone Star (1996),"Hunt for Red October, The (1990)",Murder at 1600 (1997),Star Trek: The Wrath of Khan (1982)
"Shawshank Redemption, The (1994)",4.440251572327044,159,Field of Dreams (1989),"Usual Suspects, The (1995)",One Flew Over the Cuckoo's Nest (1975),Top Gun (1986)
She's So Lovely (1997),2.71875,32,"Princess Bride, The (1987)",Monty Python and the Holy Grail (1974),Raising Arizona (1987),Batman (1989)
She's the One (1996),2.925,40,Unforgiven (1992),Murder at 1600 (1997),Butch Cassidy and the Sundance Kid (1969),"Shining, The (1980)"
Shiloh (1997),2.1666666666666665,6,Lone Star (1996),"Devil's Own, The (1997)",Top Gun (1986),Back to the Future (1985)
Shine (1996),4.0,67,Gandhi (1982),Heat (1995),Murder at 1600 (1997),"Rock, The (1996)"
"Shining, The (1980)",3.796116504854369,103,Murder at 1600 (1997),Boogie Nights (1997),Willy Wonka and the Chocolate Factory (1971),"Birdcage, The (1996)"
"Shooter, The (1995)",4.0,1,-,-,-,-
Shooting Fish (1997),2.25,4,Pulp Fiction (1994),Apocalypse Now (1979),Boogie Nights (1997),Star Trek IV: The Voyage Home (1986)
Shopping (1994),2.0,1,-,-,-,-
Short Cuts (1993),3.725,40,Ransom (1996),Star Trek III: The Search for Spock (1984),Beauty and the Beast (1991),GoodFellas (1990)
"Show, The (1995)",2.0,1,-,-,-,-
Showgirls (1995),1.7,10,"People vs. Larry Flynt, The (1996)",Psycho (1960),"Wizard of Oz, The (1939)",Speed (1994)
"Silence of the Lambs, The (1991)",4.274418604651163,215,When Harry Met Sally... (1989),Murder at 1600 (1997),Speed (1994),It's a Wonderful Life (1946)
"Simple Twist of Fate, A (1994)",4.0,1,-,-,-,-
"Simple Wish, A (1997)",1.0,1,-,-,-,-
Singin' in the Rain (1952),4.074074074074074,81,"Empire Strikes Back, The (1980)",Get Shorty (1995),Star Trek IV: The Voyage Home (1986),Terminator 2: Judgment Day (1991)
Sirens (1994),2.9,30,L.A. Confidential (1997),Face/Off (1997),Phenomenon (1996),Four Weddings and a Funeral (1994)
Six Degrees of Separation (1993),3.8484848484848486,33,Titanic (1997),Casablanca (1942),"Devil's Own, The (1997)","Shining, The (1980)"
"Sixth Man, The (1997)",3.25,4,Phenomenon (1996),Ransom (1996),Twelve Monkeys (1995),Men in Black (1997)
Sleeper (1973),3.425,40,Trainspotting (1996),Leaving Las Vegas (1995),"Graduate, The (1967)",Groundhog Day (1993)
Sleepers (1996),3.606741573033708,89,Chasing Amy (1997),Eraser (1996),Rear Window (1954),Men in Black (1997)
Sleepless in Seattle (1993),3.5619047619047617,105,Aladdin (1992),Mrs. Doubtfire (1993),"Time to Kill, A (1996)","Truth About Cats & Dogs, The (1996)"
Sling Blade (1996),4.1891891891891895,74,M*A*S*H (1970),"Blues Brothers, The (1980)",Face/Off (1997),"Usual Suspects, The (1995)"
Sliver (1993),2.263157894736842,19,Phenomenon (1996),"Game, The (1997)",Evita (1996),Apollo 13 (1995)
Small Faces (1995),2.0,1,-,-,-,-
"Smile Like Yours, A (1997)",3.0,15,Toy Story (1995),"Rock, The (1996)",Eraser (1996),Mr. Holland's Opus (1995)
Smilla's Sense of Snow (1997),3.217391304347826,23,"Graduate, The (1967)",Psycho (1960),Leaving Las Vegas (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Smoke (1995),3.5869565217391304,46,Broken Arrow (1996),Men in Black (1997),Mighty Aphrodite (1995),Boogie Nights (1997)
Sneakers (1992),3.5180722891566263,83,Phenomenon (1996),Titanic (1997),Indiana Jones and the Last Crusade (1989),Braveheart (1995)
Snow White and the Seven Dwarfs (1937),3.7777777777777777,99,"Time to Kill, A (1996)",Lone Star (1996),Speed (1994),L.A. Confidential (1997)
So Dear to My Heart (1949),4.5,2,Twelve Monkeys (1995),Batman (1989),"Terminator, The (1984)",Brazil (1985)
So I Married an Axe Murderer (1993),3.0943396226415096,53,Evita (1996),Casablanca (1942),Mars Attacks! (1996),"Birdcage, The (1996)"
Solo (1996),2.142857142857143,7,Chasing Amy (1997),Courage Under Fire (1996),Jerry Maguire (1996),Star Trek III: The Search for Spock (1984)
Some Folks Call It a Sling Blade (1993),4.391304347826087,23,M*A*S*H (1970),Apocalypse Now (1979),Rear Window (1954),Psycho (1960)
Some Kind of Wonderful (1987),3.736842105263158,38,"Game, The (1997)",L.A. Confidential (1997),Star Trek III: The Search for Spock (1984),Mighty Aphrodite (1995)
Some Like It Hot (1959),4.042857142857143,70,Chasing Amy (1997),Star Trek: First Contact (1996),Star Trek: The Wrath of Khan (1982),M*A*S*H (1970)
Some Mother's Son (1996),4.0,1,-,-,-,-
Somebody to Love (1994),1.0,1,-,-,-,-
Someone Else's America (1995),5.0,1,-,-,-,-
Something to Talk About (1995),2.933333333333333,15,L.A. Confidential (1997),Ransom (1996),Willy Wonka and the Chocolate Factory (1971),"Saint, The (1997)"
Somewhere in Time (1980),3.5238095238095237,42,Sense and Sensibility (1995),"Full Monty, The (1997)",Raiders of the Lost Ark (1981),When Harry Met Sally... (1989)
Son in Law (1993),2.6875,16,Aladdin (1992),Jerry Maguire (1996),Mr. Holland's Opus (1995),Fargo (1996)
Sophie's Choice (1982),4.0606060606060606,33,Boogie Nights (1997),"Hunt for Red October, The (1990)","Game, The (1997)",Twelve Monkeys (1995)
Soul Food (1997),3.357142857142857,28,"Usual Suspects, The (1995)","Fish Called Wanda, A (1988)",Apollo 13 (1995),Brazil (1985)
"Sound of Music, The (1965)",3.75,120,In & Out (1997),Aladdin (1992),"Wizard of Oz, The (1939)",Sleepless in Seattle (1993)
Space Jam (1996),2.6818181818181817,44,L.A. Confidential (1997),Face/Off (1997),Top Gun (1986),Murder at 1600 (1997)
"Spanish Prisoner, The (1997)",4.0,1,-,-,-,-
Spanking the Monkey (1994),3.1666666666666665,12,Dante's Peak (1997),Batman (1989),Butch Cassidy and the Sundance Kid (1969),Toy Story (1995)
Spawn (1997),2.5636363636363635,55,Beauty and the Beast (1991),"Birdcage, The (1996)",Terminator 2: Judgment Day (1991),It's a Wonderful Life (1946)
"Specialist, The (1994)",2.3333333333333335,12,"Devil's Own, The (1997)","Truth About Cats & Dogs, The (1996)",Amadeus (1984),This Is Spinal Tap (1984)
Species (1995),3.0,26,Quiz Show (1994),"Hunt for Red October, The (1990)",Brazil (1985),M*A*S*H (1970)
Speechless (1994),2.9444444444444446,18,It's a Wonderful Life (1946),"Empire Strikes Back, The (1980)",Twister (1996),"Sting, The (1973)"
Speed (1994),3.7301587301587302,126,"Fugitive, The (1993)",Back to the Future (1985),Star Trek III: The Search for Spock (1984),Dante's Peak (1997)
Speed 2: Cruise Control (1997),1.92,25,Apocalypse Now (1979),"Saint, The (1997)",M*A*S*H (1970),Dante's Peak (1997)
Spellbound (1945),3.9473684210526314,19,Beauty and the Beast (1991),Seven (Se7en) (1995),In & Out (1997),"Rock, The (1996)"
Sphere (1998),3.210526315789474,19,"Truth About Cats & Dogs, The (1996)","People vs. Larry Flynt, The (1996)",Men in Black (1997),Broken Arrow (1996)
Spice World (1997),2.5,8,Groundhog Day (1993),Braveheart (1995),Raiders of the Lost Ark (1981),Pulp Fiction (1994)
"Spitfire Grill, The (1996)",3.84375,64,Twister (1996),"Full Monty, The (1997)","Rock, The (1996)",Face/Off (1997)
Sprung (1997),2.0,2,-,-,-,-
Spy Hard (1996),2.5454545454545454,22,In & Out (1997),This Is Spinal Tap (1984),Eraser (1996),"People vs. Larry Flynt, The (1996)"
Squeeze (1996),1.0,2,-,-,-,-
Stag (1997),1.8333333333333333,6,Liar Liar (1997),Contact (1997),Twister (1996),Casablanca (1942)
Stalingrad (1993),3.25,8,Amadeus (1984),Jerry Maguire (1996),It's a Wonderful Life (1946),Quiz Show (1994)
Stalker (1979),2.6666666666666665,3,Alien (1979),Star Trek: The Wrath of Khan (1982),Apocalypse Now (1979),Babe (1995)
Stand by Me (1986),3.9831932773109244,119,Volcano (1997),Pulp Fiction (1994),"Fugitive, The (1993)",Chasing Amy (1997)
Star Kid (1997),5.0,3,-,-,-,-
"Star Maker, The (Uomo delle stelle, L') (1995)",2.75,4,"Full Monty, The (1997)",L.A. Confidential (1997),Sense and Sensibility (1995),"Silence of the Lambs, The (1991)"
Star Maps (1997),3.111111111111111,9,Brazil (1985),Leaving Las Vegas (1995),M*A*S*H (1970),Mr. Holland's Opus (1995)
Star Trek III: The Search for Spock (1984),3.156862745098039,102,Star Trek IV: The Voyage Home (1986),Speed (1994),Dante's Peak (1997),Independence Day (ID4) (1996)
Star Trek IV: The Voyage Home (1986),3.5090909090909093,110,Conspiracy Theory (1997),Star Trek III: The Search for Spock (1984),Star Trek: First Contact (1996),Ransom (1996)
Star Trek V: The Final Frontier (1989),2.6315789473684212,38,GoodFellas (1990),True Lies (1994),"Birdcage, The (1996)",Star Trek III: The Search for Spock (1984)
Star Trek VI: The Undiscovered Country (1991),3.3417721518987342,79,Ransom (1996),Star Trek: The Wrath of Khan (1982),Star Trek III: The Search for Spock (1984),Star Trek IV: The Voyage Home (1986)
Star Trek: First Contact (1996),3.738888888888889,180,Star Trek: The Wrath of Khan (1982),Star Trek IV: The Voyage Home (1986),Conspiracy Theory (1997),Air Force One (1997)
Star Trek: Generations (1994),3.413793103448276,58,Phenomenon (1996),"Saint, The (1997)",Star Trek III: The Search for Spock (1984),Contact (1997)
Star Trek: The Motion Picture (1979),3.1964285714285716,56,Sense and Sensibility (1995),Leaving Las Vegas (1995),Star Trek III: The Search for Spock (1984),Brazil (1985)
Star Trek: The Wrath of Khan (1982),3.8181818181818183,121,Dante's Peak (1997),Star Trek: First Contact (1996),Volcano (1997),Sense and Sensibility (1995)
Star Wars (1977),4.317880794701987,302,"Empire Strikes Back, The (1980)",Return of the Jedi (1983),Raiders of the Lost Ark (1981),Star Trek III: The Search for Spock (1984)
Stargate (1994),2.9344262295081966,61,Independence Day (ID4) (1996),"Game, The (1997)","Time to Kill, A (1996)",Volcano (1997)
"Stars Fell on Henrietta, The (1995)",3.0,2,Amadeus (1984),Braveheart (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Psycho (1960)
Starship Troopers (1997),3.1881188118811883,101,Mission: Impossible (1996),Sense and Sensibility (1995),Seven (Se7en) (1995),Face/Off (1997)
"Steal Big, Steal Little (1995)",2.6,5,Alien (1979),M*A*S*H (1970),L.A. Confidential (1997),Dances with Wolves (1990)
Stealing Beauty (1996),3.21875,32,"Full Monty, The (1997)",Field of Dreams (1989),Butch Cassidy and the Sundance Kid (1969),Courage Under Fire (1996)
Steel (1997),2.6363636363636362,11,Jerry Maguire (1996),Leaving Las Vegas (1995),Apocalypse Now (1979),One Flew Over the Cuckoo's Nest (1975)
Stefano Quantestorie (1993),1.0,1,-,-,-,-
Stephen King's The Langoliers (1995),2.3529411764705883,17,Dead Man Walking (1995),Men in Black (1997),M*A*S*H (1970),Ransom (1996)
"Sting, The (1973)",4.059701492537314,134,Gandhi (1982),It's a Wonderful Life (1946),Butch Cassidy and the Sundance Kid (1969),Liar Liar (1997)
Stonewall (1995),4.0,2,-,-,-,-
"Story of Xinghua, The (1993)",2.75,4,"English Patient, The (1996)",Lone Star (1996),Liar Liar (1997),Fargo (1996)
Strange Days (1995),3.3191489361702127,47,"Time to Kill, A (1996)",Liar Liar (1997),Conspiracy Theory (1997),Dead Man Walking (1995)
Stranger in the House (1997),2.4,5,"Game, The (1997)",Beauty and the Beast (1991),Jerry Maguire (1996),Ransom (1996)
"Stranger, The (1994)",3.0,3,Liar Liar (1997),Toy Story (1995),Sense and Sensibility (1995),"Saint, The (1997)"
Strawberry and Chocolate (Fresa y chocolate) (1993),2.8333333333333335,6,Titanic (1997),Beauty and the Beast (1991),Speed (1994),Sense and Sensibility (1995)
Street Fighter (1994),3.3333333333333335,3,"Blues Brothers, The (1980)",Willy Wonka and the Chocolate Factory (1971),"Terminator, The (1984)",Eraser (1996)
"Streetcar Named Desire, A (1951)",3.82,50,GoodFellas (1990),Face/Off (1997),In & Out (1997),Pulp Fiction (1994)
Strictly Ballroom (1992),4.269230769230769,52,Mighty Aphrodite (1995),Rear Window (1954),"Wizard of Oz, The (1939)",Boogie Nights (1997)
Striking Distance (1993),2.75,8,"Rock, The (1996)",Star Trek: First Contact (1996),"Graduate, The (1967)","Saint, The (1997)"
Stripes (1981),4.0,3,Alien (1979),Babe (1995),Top Gun (1986),"Terminator, The (1984)"
Striptease (1996),2.275,40,"Time to Kill, A (1996)",Apollo 13 (1995),"Saint, The (1997)",Star Trek III: The Search for Spock (1984)
Stuart Saves His Family (1995),1.8181818181818181,11,Leaving Las Vegas (1995),Scream (1996),Chasing Amy (1997),"Lion King, The (1994)"
"Stupids, The (1996)",1.375,8,Blade Runner (1982),Braveheart (1995),Conspiracy Theory (1997),Mrs. Doubtfire (1993)
SubUrbia (1997),4.0,6,Unforgiven (1992),"Time to Kill, A (1996)","Wizard of Oz, The (1939)",Fargo (1996)
"Substance of Fire, The (1996)",4.0,1,-,-,-,-
"Substitute, The (1996)",2.6551724137931036,29,To Kill a Mockingbird (1962),Chasing Amy (1997),Conspiracy Theory (1997),Evita (1996)
Sudden Death (1995),2.6363636363636362,22,Brazil (1985),"Sting, The (1973)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),GoodFellas (1990)
Sudden Manhattan (1996),1.0,1,-,-,-,-
"Sum of Us, The (1994)",2.8,5,Terminator 2: Judgment Day (1991),Leaving Las Vegas (1995),Face/Off (1997),"Full Monty, The (1997)"
Sunset Blvd. (1950),4.135135135135135,37,Starship Troopers (1997),In & Out (1997),Mars Attacks! (1996),Courage Under Fire (1996)
Sunset Park (1996),4.0,1,-,-,-,-
Super Mario Bros. (1993),2.0,10,Volcano (1997),Evita (1996),"Game, The (1997)",Titanic (1997)
Supercop (1992),3.484848484848485,33,"Full Monty, The (1997)",In & Out (1997),One Flew Over the Cuckoo's Nest (1975),Dante's Peak (1997)
Surviving Picasso (1996),3.076923076923077,13,Butch Cassidy and the Sundance Kid (1969),It's a Wonderful Life (1946),"Truth About Cats & Dogs, The (1996)","Shining, The (1980)"
Surviving the Game (1994),2.7777777777777777,9,One Flew Over the Cuckoo's Nest (1975),"Empire Strikes Back, The (1980)",Jurassic Park (1993),"Birdcage, The (1996)"
Suture (1993),2.0,3,"Shining, The (1980)",Brazil (1985),Star Trek IV: The Voyage Home (1986),Rear Window (1954)
"Swan Princess, The (1994)",1.5,2,Apollo 13 (1995),When Harry Met Sally... (1989),Beauty and the Beast (1991),Brazil (1985)
"Sweet Hereafter, The (1997)",3.761904761904762,21,Dances with Wolves (1990),Aladdin (1992),Star Trek: The Wrath of Khan (1982),Mars Attacks! (1996)
Swept from the Sea (1997),1.0,3,-,-,-,-
Swimming with Sharks (1995),3.5,26,Dante's Peak (1997),M*A*S*H (1970),"Saint, The (1997)",Fargo (1996)
Swingers (1996),3.797752808988764,89,"Full Monty, The (1997)",Gandhi (1982),Jaws (1975),Mars Attacks! (1996)
Swiss Family Robinson (1960),3.48,25,L.A. Confidential (1997),"Devil's Own, The (1997)",Brazil (1985),M*A*S*H (1970)
Switchback (1997),3.3333333333333335,6,Lone Star (1996),Chasing Amy (1997),"Clockwork Orange, A (1971)",In & Out (1997)
Switchblade Sisters (1975),3.3333333333333335,6,Field of Dreams (1989),"English Patient, The (1996)",Jerry Maguire (1996),Casablanca (1942)
"Sword in the Stone, The (1963)",3.25,44,Starship Troopers (1997),Courage Under Fire (1996),Mission: Impossible (1996),"Truth About Cats & Dogs, The (1996)"
T-Men (1947),1.0,1,-,-,-,-
Tales From the Crypt Presents: Demon Knight (1995),3.12,25,"Full Monty, The (1997)",In & Out (1997),Four Weddings and a Funeral (1994),"Clockwork Orange, A (1971)"
Tales from the Crypt Presents: Bordello of Blood (1996),2.735294117647059,34,In & Out (1997),"People vs. Larry Flynt, The (1996)",Courage Under Fire (1996),Star Trek: First Contact (1996)
Tales from the Hood (1995),2.0555555555555554,18,In & Out (1997),"Full Monty, The (1997)","English Patient, The (1996)",Ransom (1996)
Talking About Sex (1994),2.0,4,Pulp Fiction (1994),"People vs. Larry Flynt, The (1996)","Full Monty, The (1997)",When Harry Met Sally... (1989)
"Tango Lesson, The (1997)",3.375,8,Contact (1997),Volcano (1997),"Blues Brothers, The (1980)",Brazil (1985)
Tank Girl (1995),2.7142857142857144,21,Starship Troopers (1997),Twister (1996),Dante's Peak (1997),"Saint, The (1997)"
Target (1995),3.0,1,-,-,-,-
Taxi Driver (1976),4.25531914893617,94,Twelve Monkeys (1995),Apocalypse Now (1979),L.A. Confidential (1997),Dead Man Walking (1995)
Telling Lies in America (1997),3.0,8,Trainspotting (1996),"Clockwork Orange, A (1971)","Truth About Cats & Dogs, The (1996)",Twister (1996)
Terminal Velocity (1994),2.75,20,In & Out (1997),Evita (1996),Murder at 1600 (1997),Butch Cassidy and the Sundance Kid (1969)
Terminator 2: Judgment Day (1991),4.0212765957446805,141,"Terminator, The (1984)",Conspiracy Theory (1997),True Lies (1994),Raiders of the Lost Ark (1981)
"Terminator, The (1984)",4.012578616352202,159,Terminator 2: Judgment Day (1991),Batman (1989),Back to the Future (1985),Courage Under Fire (1996)
Terror in a Texas Town (1958),1.0,1,-,-,-,-
Tetsuo II: Body Hammer (1992),2.0,3,"English Patient, The (1996)",L.A. Confidential (1997),Lone Star (1996),Trainspotting (1996)
That Darn Cat! (1965),2.1538461538461537,13,L.A. Confidential (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Mr. Holland's Opus (1995),Titanic (1997)
That Darn Cat! (1997),2.32,25,Sense and Sensibility (1995),In & Out (1997),Rear Window (1954),Speed (1994)
That Old Feeling (1997),3.6666666666666665,6,Dead Poets Society (1989),Butch Cassidy and the Sundance Kid (1969),"Fish Called Wanda, A (1988)",Dante's Peak (1997)
That Thing You Do! (1996),3.4948453608247423,97,Batman (1989),Groundhog Day (1993),Apollo 13 (1995),Quiz Show (1994)
The Courtyard (1995),1.0,1,-,-,-,-
The Deadly Cure (1996),5.0,1,-,-,-,-
The Innocent (1994),2.6666666666666665,3,Amadeus (1984),Star Trek: The Wrath of Khan (1982),Star Trek IV: The Voyage Home (1986),"Shining, The (1980)"
Theodore Rex (1995),1.0,3,-,-,-,-
"Thieves (Voleurs, Les) (1996)",3.75,4,"Usual Suspects, The (1995)",Apocalypse Now (1979),Batman (1989),Trainspotting (1996)
"Thin Blue Line, The (1988)",3.85,20,Air Force One (1997),"Graduate, The (1967)","People vs. Larry Flynt, The (1996)",Lone Star (1996)
"Thin Line Between Love and Hate, A (1996)",2.6666666666666665,6,GoodFellas (1990),"Hunt for Red October, The (1990)",Four Weddings and a Funeral (1994),Forrest Gump (1994)
"Thin Man, The (1934)",4.125,32,Ransom (1996),Volcano (1997),Dead Poets Society (1989),Stand by Me (1986)
Things to Do in Denver when You're Dead (1995),3.2195121951219514,41,One Flew Over the Cuckoo's Nest (1975),"Game, The (1997)","Fifth Element, The (1997)",Aladdin (1992)
Thinner (1996),2.423076923076923,26,Heat (1995),"Princess Bride, The (1987)",Dante's Peak (1997),Conspiracy Theory (1997)
"Third Man, The (1949)",4.295454545454546,44,Men in Black (1997),"Fifth Element, The (1997)",Broken Arrow (1996),"Rock, The (1996)"
Thirty-Two Short Films About Glenn Gould (1993),3.9,10,Back to the Future (1985),Volcano (1997),Babe (1995),Aladdin (1992)
This Is Spinal Tap (1984),4.065420560747664,107,GoodFellas (1990),Titanic (1997),Twister (1996),In & Out (1997)
"Thousand Acres, A (1997)",3.5,22,Starship Troopers (1997),Mr. Holland's Opus (1995),Casablanca (1942),"Princess Bride, The (1987)"
"Three Caballeros, The (1945)",3.5,14,"Devil's Own, The (1997)","Saint, The (1997)",Butch Cassidy and the Sundance Kid (1969),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Three Colors: Blue (1993),3.9705882352941178,34,Mission: Impossible (1996),"Blues Brothers, The (1980)","Godfather, The (1972)",Twister (1996)
Three Colors: Red (1994),4.186046511627907,43,To Kill a Mockingbird (1962),Dante's Peak (1997),Jurassic Park (1993),Alien (1979)
Three Colors: White (1994),3.7142857142857144,35,"Game, The (1997)","Truth About Cats & Dogs, The (1996)",Brazil (1985),Star Trek III: The Search for Spock (1984)
Three Lives and Only One Death (1996),3.0,1,-,-,-,-
"Three Musketeers, The (1993)",3.2127659574468086,47,Volcano (1997),Murder at 1600 (1997),Starship Troopers (1997),True Lies (1994)
Three Wishes (1995),2.75,4,Quiz Show (1994),M*A*S*H (1970),Mission: Impossible (1996),"Game, The (1997)"
Threesome (1994),2.9375,16,Lone Star (1996),Air Force One (1997),Raising Arizona (1987),Ransom (1996)
Tie Me Up! Tie Me Down! (1990),3.1176470588235294,17,Titanic (1997),True Lies (1994),Quiz Show (1994),M*A*S*H (1970)
"Tie That Binds, The (1995)",2.2,5,Brazil (1985),"Clockwork Orange, A (1971)","Shining, The (1980)",Evita (1996)
Tigrero: A Film That Was Never Made (1994),1.0,1,-,-,-,-
Time Tracers (1995),1.0,1,-,-,-,-
"Time to Kill, A (1996)",3.5867768595041323,121,Conspiracy Theory (1997),"Game, The (1997)",Phenomenon (1996),Murder at 1600 (1997)
Timecop (1994),3.2,20,Jerry Maguire (1996),"Graduate, The (1967)","Time to Kill, A (1996)",It's a Wonderful Life (1946)
Tin Cup (1996),3.172043010752688,93,"Full Monty, The (1997)",Twister (1996),Field of Dreams (1989),Dances with Wolves (1990)
